timestamp,sensor_id,temperature_c
2025-01-01 10:00:00,sensor_3,28.1
2025-01-01 11:00:00,sensor_3,28.6
2025-01-01 12:00:00,sensor_3,29.0
2025-01-01 13:00:00,sensor_3,29.5
2025-01-01 14:00:00,sensor_3,30.1
2025-01-02 00:00:00,sensor_4,23.5
2025-01-02 01:00:00,sensor_4,31.0
2025-01-02 02:00:00,sensor_4,30.4
2025-01-02 03:00:00,sensor_4,25.1
2025-01-02 04:00:00,sensor_4,25.3
2025-01-02 05:00:00,sensor_4,25.6
2025-01-02 06:00:00,sensor_4,27.9
2025-01-02 07:00:00,sensor_4,30.1
2025-01-02 08:00:00,sensor_4,29.7
2025-01-02 09:00:00,sensor_4,24.7
2025-01-02 10:00:00,sensor_4,30.2
2025-01-02 11:00:00,sensor_4,29.3
2025-01-02 12:00:00,sensor_4,28.3
2025-01-02 13:00:00,sensor_4,28.5
2025-01-02 14:00:00,sensor_4,24.9
2025-01-02 15:00:00,sensor_4,26.8
2025-01-02 16:00:00,sensor_4,30.0
2025-01-02 17:00:00,sensor_4,27.8
2025-01-02 18:00:00,sensor_4,30.9
2025-01-02 19:00:00,sensor_4,27.3
2025-01-02 20:00:00,sensor_4,23.2
2025-01-02 21:00:00,sensor_4,22.2
2025-01-02 22:00:00,sensor_4,27.2
2025-01-02 23:00:00,sensor_4,24.4
2025-01-03 00:00:00,sensor_4,25.6
2025-01-03 01:00:00,sensor_4,28.6
2025-01-03 02:00:00,sensor_4,24.6
2025-01-03 03:00:00,sensor_4,27.5
2025-01-03 04:00:00,sensor_4,24.7
2025-01-03 05:00:00,sensor_4,26.8
2025-01-03 06:00:00,sensor_4,30.1
2025-01-03 07:00:00,sensor_4,25.3
2025-01-03 08:00:00,sensor_4,27.4
2025-01-03 09:00:00,sensor_4,24.3
2025-01-03 10:00:00,sensor_4,24.1
2025-01-03 11:00:00,sensor_4,29.8
2025-01-03 12:00:00,sensor_4,28.3
2025-01-03 13:00:00,sensor_4,22.3
2025-01-03 14:00:00,sensor_4,30.1
2025-01-03 15:00:00,sensor_4,24.3
2025-01-03 16:00:00,sensor_4,21.7
2025-01-03 17:00:00,sensor_4,25.9
2025-01-03 18:00:00,sensor_4,23.7
2025-01-03 19:00:00,sensor_4,27.3
2025-01-03 20:00:00,sensor_4,22.7
2025-01-03 21:00:00,sensor_4,21.8
2025-01-03 22:00:00,sensor_4,26.2
2025-01-03 23:00:00,sensor_4,22.8
2025-01-04 00:00:00,sensor_4,23.2
2025-01-04 01:00:00,sensor_4,22.0
2025-01-04 02:00:00,sensor_4,29.5
2025-01-04 03:00:00,sensor_4,27.3
2025-01-04 04:00:00,sensor_4,29.4
2025-01-04 05:00:00,sensor_4,22.4
2025-01-04 06:00:00,sensor_4,28.5
2025-01-04 07:00:00,sensor_4,29.3
2025-01-04 08:00:00,sensor_4,30.6
2025-01-04 09:00:00,sensor_4,22.4
2025-01-04 10:00:00,sensor_4,30.2
2025-01-04 11:00:00,sensor_4,30.0
2025-01-04 12:00:00,sensor_4,27.9
2025-01-04 13:00:00,sensor_4,29.4
2025-01-04 14:00:00,sensor_4,22.8
2025-01-04 15:00:00,sensor_4,29.3
2025-01-04 16:00:00,sensor_4,23.6
2025-01-04 17:00:00,sensor_4,28.0
2025-01-04 18:00:00,sensor_4,25.7
2025-01-04 19:00:00,sensor_4,30.0
2025-01-04 20:00:00,sensor_4,27.3
2025-01-04 21:00:00,sensor_4,25.6
2025-01-04 22:00:00,sensor_4,31.4
2025-01-04 23:00:00,sensor_4,22.2
2025-01-05 00:00:00,sensor_4,30.1
2025-01-05 01:00:00,sensor_4,24.4
2025-01-05 02:00:00,sensor_4,30.3
2025-01-05 03:00:00,sensor_4,24.7
2025-01-05 04:00:00,sensor_4,23.5
2025-01-05 05:00:00,sensor_4,29.0
2025-01-05 06:00:00,sensor_4,23.4
2025-01-05 07:00:00,sensor_4,31.3
2025-01-05 08:00:00,sensor_4,21.6
2025-01-05 09:00:00,sensor_4,22.1
2025-01-05 10:00:00,sensor_4,28.7
2025-01-05 11:00:00,sensor_4,26.4
2025-01-05 12:00:00,sensor_4,28.8
2025-01-05 13:00:00,sensor_4,23.3
2025-01-05 14:00:00,sensor_4,29.4
2025-01-05 15:00:00,sensor_4,30.2
2025-01-05 16:00:00,sensor_4,29.2
